MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
,"black nylon, M3",1000PCS m2 m2.5 M3 m4 m5 m6 m8 white or Black nylon plastic hex nut,"WanFang Hardware Fasteners Co.,LTD",9.3600,,aliexpress,"Dec 13, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159339156339074
,"100pcs, F8 8mm",5-1000pcs DC5V Diffused Round hat RGB LED with WS2811 5mm F5 8mm F8 pixels Arduino led chips RGB full color addressable LEDs,Yinice Lighting,27.5700,,aliexpress,"Jan 6, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8008918932589074
,"Red, 1000PCS",100/1000PCS 5mm Flat Top F5 Emitting Diode LED Wide Angle Ultra Super Bright Bulbs Light Lamp Diodes White Red Yellow Blue Green,Top Best Light,10.9400,,aliexpress,"Jul 28, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8203436384539074
AD711JRZ,20PCS,20pcs AD711JRZ precision high-speed operational amplifier SOP8 brand new original,IC-exclusive,7.3800,,aliexpress,"Nov 12, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8206887976309074
,1bag,200PCS/lot Single Row Male 1X40 Pin Header Strip 2.54 mm,"Mega Semiconductor CO., Ltd.",9.3900,,aliexpress,"Aug 29, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192180411509074
GL5506,GL5506,20pcs GL5506 GL5516 GL5528 GL5537 GL5539 GL5549 5506 5516 5528 5537 5539 Photo Light Sensitive Resistor Photoresistor,Survy2014,0.4800,,aliexpress,"Dec 21, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8123207540039074
,100pcs,50/100pcs 5mm LED Diode Flat Top Red Lights Bright Bulb Lamps Electronics Components Indicator Light Emitting Diodes Kit,Shop1103242113,1.7400,,aliexpress,"Mar 11, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8198799871879074
,,Pitch 2.54 mm 2*40 Pin Male Breakable Pin Header Double Row Copper Straight Needle High Quality,"Jierui Da Electronics Co., Ltd.",9.4200,,aliexpress,"Jul 3, 2018",https://www.aliexpress.com/p/order/detail.html?orderId=93017317689074
,,200PCS 1x40 Pin 2.54mm Single Row Male Pin Header connector,Shop1919231,3.2100,,aliexpress,"Aug 10, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8153528721399074
,,Wkooa Dia. 5mm L = 2mm Black LED Spacer Support Hood PCB Board Mount Hardware,J&G Hardware Supermarket,33.3000,,aliexpress,"Apr 28, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8130761340559074
,5mm red-red,1000PCS Diameter 3mm 5mm LED Lamp Bead Bubble LED F3 F5 Red Green Yellow Blue White Straight Into The Whole Pack F3 F5 LED,ICGOGO,10.8800,,aliexpress,"Dec 23, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8196789964769074
,Red,"200pcs Pin Header Jumper blocks Connector 2.54 mm for 3 1/2 Hard Disk Drive, CD/DVD Drive, Motherboard and/or Expansion Card",Shop323553,2.3000,,aliexpress,"Sep 1, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8138011979309074
